PSCor PSCorErr PSErr ASCor ASErrCor ASErr OSCor OSErrCor OSErr Dropped total AScor.lat ASErrCor.lat ASErr.lat PScor.lat PSErrCor.lat PSErr.lat OScor.lat OSErrCor.lat OSErr.lat subj date run type
0 0 0 0 0 0 34 0 14 0 48 NA NA NA NA NA NA NA NA 435.785714285714 10292 20100417 1 Fix
0 0 0 27 14 2 0 0 0 5 48 328.296296296296 193.928571428571 325.5 NA NA NA NA NA NA 10827 20100617 1 Anti
0 0 0 25 15 0 0 0 0 8 48 294.84 204.266666666667 NA NA NA NA NA NA NA 10827 20120209 1 Anti
37 1 0 0 0 0 0 0 0 10 48 NA NA NA 191.864864864865 82 NA NA NA NA 10479 20081023 1 VGS
28 2 0 0 0 0 0 0 0 18 48 NA NA NA 218.857142857143 185.5 NA NA NA NA 10479 20091019 1 VGS
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10479 20071016 1 Anti
0 0 0 13 23 0 0 0 0 12 48 289.230769230769 158.173913043478 NA NA NA NA NA NA NA 10479 20081023 1 Anti
0 0 0 20 12 0 0 0 0 16 48 345.85 187.5 NA NA NA NA NA NA NA 10479 20091019 1 Anti
0 0 0 29 18 0 0 0 0 1 48 247.965517241379 147.055555555556 NA NA NA NA NA NA NA 10479 20101021 1 Anti
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10479 20071016 1 Fix
0 0 0 0 0 0 26 0 16 6 48 NA NA NA NA NA NA NA NA 321 10479 20081023 1 Fix
0 0 0 0 0 0 27 0 15 6 48 NA NA NA NA NA NA NA NA 392.4 10479 20091019 1 Fix
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10466 20070927 1 Anti
0 0 0 29 8 0 0 0 0 11 48 318.103448275862 169.625 NA NA NA NA NA NA NA 10466 20091205 1 Anti
0 0 0 23 23 0 0 0 0 2 48 243.347826086957 166.347826086957 NA NA NA NA NA NA NA 10466 20110831 1 Anti
0 0 0 23 12 0 0 0 0 13 48 226.739130434783 140 NA NA NA NA NA NA NA 10466 20130112 1 Anti
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10466 20070927 1 Fix
0 0 0 15 18 0 0 0 0 15 48 285.466666666667 165.777777777778 NA NA NA NA NA NA NA 10826 20100617 1 Anti
0 0 0 16 2 10 0 0 0 20 48 241.6875 171.5 145.9 NA NA NA NA NA NA 10826 20120209 1 Anti
0 0 0 26 12 4 0 0 0 6 48 249.846153846154 175.666666666667 221.5 NA NA NA NA NA NA 10826 20120813 1 Anti
47 0 0 0 0 0 0 0 0 1 48 NA NA NA 167.872340425532 NA NA NA NA NA 10185 20111216 1 VGS
44 1 0 0 0 0 0 0 0 3 48 NA NA NA 160.295454545455 140 NA NA NA NA 10185 20130225 1 VGS
44 2 0 0 0 0 0 0 0 2 48 NA NA NA 171.977272727273 82 NA NA NA NA 10185 20140630 1 VGS
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10185 20050923 1 Anti
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10185 20070413 1 Anti
0 0 0 39 6 0 0 0 0 3 48 250.410256410256 183.166666666667 NA NA NA NA NA NA NA 10185 20111216 1 Anti
0 0 0 40 4 0 0 0 0 4 48 250.125 167.75 NA NA NA NA NA NA NA 10185 20130225 1 Anti
0 0 0 35 7 0 0 0 0 6 48 247.314285714286 159.571428571429 NA NA NA NA NA NA NA 10185 20140630 1 Anti
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10185 20050923 1 Fix
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10185 20070413 1 Fix
0 0 0 0 0 0 41 0 6 1 48 NA NA NA NA NA NA NA NA 724.333333333333 10185 20111216 1 Fix
0 0 0 0 0 0 38 0 0 10 48 NA NA NA NA NA NA NA NA NA 10185 20130225 1 Fix
29 1 0 0 0 0 0 0 0 18 48 NA NA NA 208.724137931034 114 NA NA NA NA 10195 20081020 1 VGS
44 0 0 0 0 0 0 0 0 4 48 NA NA NA 251.454545454545 NA NA NA NA NA 10195 20091012 1 VGS
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10195 20051010 1 Anti
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10195 20061030 1 Anti
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10195 20071008 1 Anti
0 0 0 35 12 0 0 0 0 1 48 262.857142857143 162.75 NA NA NA NA NA NA NA 10195 20081020 1 Anti
0 0 0 40 5 0 0 0 0 3 48 345.675 173.4 NA NA NA NA NA NA NA 10195 20091012 1 Anti
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10195 20051010 1 Fix
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10195 20061030 1 Fix
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10195 20071008 1 Fix
0 0 0 0 0 0 38 0 9 1 48 NA NA NA NA NA NA NA NA 290.555555555556 10195 20081020 1 Fix
0 0 0 0 0 0 42 0 4 2 48 NA NA NA NA NA NA NA NA 315.25 10195 20091012 1 Fix
